"age","sex","category","population"
0,"Miehet","v1990",107
0,"Miehet","v2010",107
0,"Miehet","v2024",74
1,"Miehet","v1990",90
1,"Miehet","v2010",106
1,"Miehet","v2024",65
2,"Miehet","v1990",102
2,"Miehet","v2010",105
2,"Miehet","v2024",62
3,"Miehet","v1990",109
3,"Miehet","v2010",122
3,"Miehet","v2024",92
4,"Miehet","v1990",98
4,"Miehet","v2010",106
4,"Miehet","v2024",57
5,"Miehet","v1990",76
5,"Miehet","v2010",103
5,"Miehet","v2024",70
6,"Miehet","v1990",94
6,"Miehet","v2010",117
6,"Miehet","v2024",70
7,"Miehet","v1990",126
7,"Miehet","v2010",108
7,"Miehet","v2024",66
8,"Miehet","v1990",115
8,"Miehet","v2010",113
8,"Miehet","v2024",90
9,"Miehet","v1990",105
9,"Miehet","v2010",114
9,"Miehet","v2024",84
10,"Miehet","v1990",112
10,"Miehet","v2010",92
10,"Miehet","v2024",98
11,"Miehet","v1990",90
11,"Miehet","v2010",104
11,"Miehet","v2024",119
12,"Miehet","v1990",110
12,"Miehet","v2010",96
12,"Miehet","v2024",117
13,"Miehet","v1990",109
13,"Miehet","v2010",103
13,"Miehet","v2024",119
14,"Miehet","v1990",99
14,"Miehet","v2010",116
14,"Miehet","v2024",113
15,"Miehet","v1990",107
15,"Miehet","v2010",93
15,"Miehet","v2024",112
16,"Miehet","v1990",105
16,"Miehet","v2010",105
16,"Miehet","v2024",107
17,"Miehet","v1990",79
17,"Miehet","v2010",123
17,"Miehet","v2024",125
18,"Miehet","v1990",109
18,"Miehet","v2010",111
18,"Miehet","v2024",97
19,"Miehet","v1990",110
19,"Miehet","v2010",85
19,"Miehet","v2024",99
20,"Miehet","v1990",127
20,"Miehet","v2010",101
20,"Miehet","v2024",80
21,"Miehet","v1990",114
21,"Miehet","v2010",65
21,"Miehet","v2024",56
22,"Miehet","v1990",131
22,"Miehet","v2010",78
22,"Miehet","v2024",69
23,"Miehet","v1990",119
23,"Miehet","v2010",65
23,"Miehet","v2024",62
24,"Miehet","v1990",102
24,"Miehet","v2010",77
24,"Miehet","v2024",59
25,"Miehet","v1990",103
25,"Miehet","v2010",57
25,"Miehet","v2024",57
26,"Miehet","v1990",103
